ontology_id,ontology_title,pid,predicate_ja,predicate_en,domain_qid,domain_concept_ja,range_qid,range_concept_ja,relation_type,strategy_no,strategy_name,verifier,selection_rationale,why_not_others
ont_7_space,Space Ontology,P196,小惑星群,minor planet group,Q3863,小惑星,Q17444909,天体の種類,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_7_space,Space Ontology,P59,星座,constellation,Q2488,渦巻銀河,Q8928,星座,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_7_space,Space Ontology,P450,宇宙飛行士の任務（搭乗ミッション）,astronaut mission,Q5,ヒト,Q5916,宇宙飛行,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_7_space,Space Ontology,P622,宇宙船のドッキング／アンドッキング日（接舷／離脱日）,spacecraft docking/undocking date,Q40218,宇宙機,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_7_space,Space Ontology,P3015,予備チーム／予備乗組員,backup or reserve team or crew,Q5916,宇宙飛行,Q5,ヒト,ロール/過程（類推補助）,4,アナロジー推論,No.21（最終判定：BERTで代替）,役割関係だがドメイン横断で代表例への写像（類推）が効き、テンプレ同値判定に落とし込みやすいため。,階層分類(タクソノミー) / 同義語生成
ont_7_space,Space Ontology,P1158,着陸地点,location of landing,Q40218,宇宙機,Q82794,地理的地域,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_3_sport,Sports Ontology,P106,職業,occupation,Q5,ヒト,Q2066131,アスリート,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_3_sport,Sports Ontology,P641,スポーツ,sport,Q13406554,スポーツ競技大会,Q349,スポーツ,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_3_sport,Sports Ontology,P54,スポーツチームのメンバー,member of sports team,Q5,ヒト,Q847017,スポーツクラブ,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_3_sport,Sports Ontology,P1532,スポーツのための国,country for sport,Q5,ヒト,Q6256,国,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_3_sport,Sports Ontology,P3450,リーグや競争のスポーツシーズン,sports season of league or competition,Q27020041,スポーツシーズン,Q500834,Q500834,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_3_sport,Sports Ontology,P6087,スポーツチームのコーチ,coach of sports team,Q5,ヒト,Q847017,スポーツクラブ,ロール/過程（類推補助）,4,アナロジー推論,No.21（最終判定：BERTで代替）,役割関係だがドメイン横断で代表例への写像（類推）が効き、テンプレ同値判定に落とし込みやすいため。,階層分類(タクソノミー) / 同義語生成
ont_3_sport,Sports Ontology,P118,リーグ,league,Q5,ヒト,Q15991290,プロスポーツリーグ,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_3_sport,Sports Ontology,P159,ホーム会場,home venue,Q847017,スポーツクラブ,Q23764314,Q23764314,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_3_sport,Sports Ontology,P495,原産国,country of origin,Q349,スポーツ,Q6256,国,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_3_sport,Sports Ontology,P118,リーグ,league,Q5,ヒト,Q623109,Q623109,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_3_sport,Sports Ontology,P2094,競技クラス,competition class,Q4438121,スポーツ組織,,,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
